/* DATA DESCRIPTION:
Citation:	Grobe, H (1996): Sedimentology of core PS1648-1. doi:10.1594/PANGAEA.51692,
	In Supplement to: Grobe, Hannes; Mackensen, Andreas (1992): Late Quaternary climatic cycles as recorded in sediments from the Antarctic continental margin. In: Kennett, J P & Warnke, D (eds.), The Antarctic Paleoenvironment: a perspective on Global Change, Antarctic Research Series, 56, 349-376, hdl:10013/epic.11662.d001
Reference(s):	Grobe, Hannes; Fütterer, Dieter K; Hubberten, Hans-Wolfgang; Kuhn, Gerhard; Mackensen, Andreas (1993): Zur Entwicklung der spätquartären Sedimentfazies im Südpolarmeer. Zeitschrift der Deutschen Geologischen Gesellschaft, 144, 330-351, http://www.schweizerbart.de/pubs/journals/0012-0189/paper/144/330
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: http://www.awi.de/en/research/research_divisions/geosciences/marine_geology_and_paleontology/)
Coverage:	WEST: -6.5247 * EAST: -6.5247 * SOUTH: -69.7400 * NORTH: -69.7400
	DATE/TIME START: 1988-03-01T17:26:00 * DATE/TIME END: 1988-03-01T17:26:00
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 8.6 m
Event(s):	PS1648-1 (PS12/536) * LATITUDE: -69.7400 * LONGITUDE: -6.5247 * ELEVATION: -2529.0 m * DATE/TIME: 1988-03-01T17:26:00 * RECOVERY: 8.63 m * PENETRATION: 10.80 m * LOCATION: Atka Bay * CAMPAIGN: ANT-VI/3 (PS12) (URI: hdl:10013/epic.10058.d001) * BASIS: Polarstern (URI: http://www.awi.de/en/infrastructure/ships/polarstern/) * DEVICE: Gravity corer (Kiel type)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Water content of wet mass [%] (Water wm) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de)
	Density, grain [g/ccm] (Density grain) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Pycnometer (Micromeritics)
	Density [g/ccm] (Density) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Pycnometer (Micromeritics)
	Calcium carbonate [%] (CaCO3) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Carbon, organic, total [%] (TOC) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Sulphur [%] (S) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Chlorine [%] (Cl) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: XRF (x-ray fluorescence)
	Ice rafted debris, general [arbitrary unit] (IRD) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * COMMENT: calculated from IRD counting
	Sand [%] (Sand) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Grain size, sieving/settling tube
	Silt [%] (Silt) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Grain size, sieving/settling tube
	Size fraction < 0.002 mm, clay [%] (<2 µm) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Grain size, sieving/settling tube
	Mean, grain size [phi] (Mean) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Skewness (Skew) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Kurtosis (Kurt) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Sorting [phi] (Sort) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Mean [phi] (Silt mean) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Skewness (Silt skew) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Kurtosis (Silt kurt) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Silt-Sorting [phi] (Silt sort) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 05 [phi] (Perc05) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 16 [phi] (Perc16) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 25 [phi] (Perc25) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Percentile 50 [phi] (Perc50) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: calculated after FOLK
	Smectite [%] (Smec) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Illite [%] (Illite) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Chlorite [%] (Chl) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Kaolinite [%] (Kaol) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Talc (Area, 9.37Å) [cps] (Talc A 9.37Å) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Amphibole [%] (Amph) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Feldspar [%] (Feldspar) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: X-ray diffraction TEXTUR, clay fraction
	Radiolarians [%] (Radiolarians) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Counting >63 µm fraction
	Radiolarians [%] (Radiolarians) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Coarse fraction/modal analysis
	Neogloboquadrina pachyderma sinistralis, d18O [per mil PDB] (N. pachyderma s d18O) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Neogloboquadrina pachyderma sinistralis, d13C [per mil PDB] (N. pachyderma s d13C) * PI: Grobe, Hannes (URL: http://www.awi.de/People/show?hgrobe, eMail: hannes.grobe@awi.de) * METHOD: Mass spectrometer Finnigan MAT 251
Size:	2978 data points
*/
Depth [m]	Water wm [%]	Density grain [g/ccm]	Density [g/ccm]	CaCO3 [%]	TOC [%]	S [%]	Cl [%]	IRD [arbitrary unit]	Sand [%]	Silt [%]	<2 µm [%]	Mean [phi]	Skew	Kurt	Sort [phi]	Silt mean [phi]	Silt skew	Silt kurt	Silt sort [phi]	Perc05 [phi]	Perc16 [phi]	Perc25 [phi]	Perc50 [phi]	Smec [%]	Illite [%]	Chl [%]	Kaol [%]	Talc A 9.37Å [cps]	Amph [%]	Feldspar [%]	Radiolarians [%] (Counting >63 µm fraction)	Radiolarians [%] (Coarse fraction/modal analysis)	N. pachyderma s d18O [per mil PDB]	N. pachyderma s d13C [per mil PDB]
3.00	52.01	2.640	2.61	0.27	0.086	0.083	0.637	0.6	4.02	50.54	45.44	8.323	-0.042	0.739	2.555	6.61	0.11	0.81	1.256	4.28	5.53	6.18	8.37	6.4	75.5	18.1	0.0	9	2.36	25.06	44.00	1.77	4.498	0.138
3.10	49.51	2.662	2.64	0.24	0.087	0.073	0.632	0.4	1.53	49.27	49.20	8.563	-0.118	0.705	2.440	6.64	0.15	0.81	1.219	4.82	5.75	6.36	8.80	5.6	76.5	17.3	0.6	9	2.86	21.79	38.00	0.58	4.706	0.133
3.20	47.21	2.687	2.66	0.18	0.097	0.068	0.607	0.0	1.30	47.90	50.80	8.680	-0.162	0.711	2.433	6.69	0.14	0.82	1.246	4.83	5.85	6.47	8.99	7.9	79.0	11.1	1.9	6	2.83	25.61	14.00	0.18	4.331	0.238
3.30	42.65	2.730	2.71	0.22	0.111	0.059	0.486	0.0	1.52	60.60	37.88	8.137	0.118	0.756	2.325	6.76	0.10	0.82	1.225	4.81	5.72	6.23	7.93	6.6	76.8	13.5	3.1	7	1.91	22.51	30.00	0.46	4.490	0.418
3.40	43.99	2.745	2.72	0.25	0.100	0.057	0.568	0.6	1.76	46.10	52.13	8.787	-0.172	0.737	2.371	6.81	0.07	0.82	1.232	4.97	6.04	6.72	9.10	6.7	73.4	16.7	3.2	6	2.71	18.93	6.00	0.11	4.368	0.035
3.50	41.78	2.750	2.73	0.30	0.093	0.055	0.535	0.0	2.85	23.10	74.05	9.537	-0.404	1.277	2.315	6.64	0.01	0.85	1.386	4.71	6.90	8.75	10.12	6.5	69.9	22.2	1.5	6	2.78	20.05	2.00	0.06	4.608	0.265
3.60	40.51	2.739	2.72	0.46	0.100	0.055	0.424	0.6	0.80	42.19	57.01	9.073	-0.189	0.779	2.212	7.03	-0.06	0.89	1.136	5.40	6.53	7.26	9.38	7.3	65.8	25.6	1.2	6	2.48	18.34	0.00	0.00	4.429	0.149
3.70	42.83	2.774	2.75	0.47	0.125	0.055	0.435	1.0	2.63	39.91	57.47	9.037	-0.224	0.800	2.295	6.98	-0.06	0.83	1.153	5.10	6.39	7.21	9.40	8.4	62.9	27.7	1.0	5	2.97	18.85	2.00	0.05	4.635	0.180
3.80	40.71	2.757	2.74	0.75	0.114	0.053	0.435	0.6	4.77	39.43	55.80	8.807	-0.291	0.873	2.578	6.72	-0.17	0.80	1.453	4.02	5.85	6.95	9.30	7.1	66.5	25.6	0.8	9	2.35	21.41	0.00	0.00	4.844	0.191
3.90	29.62	2.759	2.75	0.74	0.077	0.049	0.341	0.0	14.60	46.01	39.39	7.230	0.224	0.619	3.026	5.69	0.56	0.91	1.459	3.28	4.07	4.50	6.69	5.6	65.2	28.2	1.1	6	2.42	16.85	0.00	0.00	4.401	0.317
4.00	41.45	2.793	2.77	0.96	0.102	0.052	0.397	0.0	7.52	35.50	56.97	8.537	-0.385	0.724	2.906	6.35	0.16	0.67	1.530	3.60	4.87	5.99	9.41	7.8	57.5	33.5	1.1	6	2.87	17.14	0.00	0.00	4.713	0.199
4.10	35.22	2.778	2.76	1.63	0.122	0.049	0.390	0.4	21.50	33.82	44.68	7.643	-0.167	0.605	3.191	6.42	0.05	0.70	1.531	3.05	3.73	4.39	8.13	10.1	61.9	27.4	0.6	8	2.94	26.77	0.00	0.00	4.500	0.024
4.20	42.80	2.770	2.75	1.01	0.175	0.052	0.457	0.4	4.40	38.81	56.79	8.993	-0.277	0.933	2.453	7.07	-0.18	0.86	1.334	4.18	6.29	7.30	9.39	8.8	59.4	27.5	4.3	7	2.76	19.14	0.00	0.00	4.651	-0.072
4.30	35.91	2.764	2.75	1.85	0.145	0.049	0.366	0.6	6.93	39.10	53.97	8.550	-0.327	0.785	2.804	6.62	-0.04	0.71	1.479	3.68	5.15	6.35	9.23	7.4	58.3	31.1	3.1	6	2.15	16.98	0.00	0.00	4.844	0.023
4.40	24.44	2.771	2.76	1.81	0.076	0.045	0.321	0.2	22.32	38.00	39.68	7.260	0.053	0.613	3.176	6.14	0.29	0.72	1.532	2.96	3.68	4.25	7.16	7.2	70.8	20.8	1.3	7	2.53	24.24	0.00	0.00	4.680	-0.183
4.50	25.30	2.767	2.76	1.19	0.065	0.045	0.315	0.0	24.98	50.16	24.86	6.217	0.611	0.733	2.959	5.03	0.49	1.45	0.947	3.06	3.60	3.99	4.82	8.6	59.8	31.7	0.0	7	2.58	21.44	0.00	0.00	4.657	-0.011
4.60	19.62	2.768	2.76	0.86	0.030	0.052	0.407	2.8	11.34	47.28	41.39	7.647	-0.002	0.645	2.950	6.05	0.35	0.73	1.475	3.39	4.33	4.85	7.66	7.9	56.5	35.0	0.5	5	3.08	17.40	0.00	0.00	4.721	-0.147
4.70	37.74	2.760	2.74	3.05	0.111	0.044	0.298	1.2	5.37	35.77	58.86	9.053	-0.324	0.993	2.537	7.10	-0.12	0.80	1.237	3.66	6.32	7.35	9.50	3.3	73.0	23.4	0.3	6	2.46	19.13	0.00	0.00	4.703	-0.260
4.80	38.64	2.775	2.76	3.95	0.129	0.050	0.349	0.4	1.85	30.34	67.80	9.463	-0.308	0.940	2.154	7.09	-0.10	0.81	1.221	5.39	7.00	8.07	9.90	3.9	70.8	22.8	2.6	7	2.13	19.05	0.00	0.00	4.670	-0.156
4.90	37.12	2.741	2.72	3.49	0.111	0.047	0.305	1.0	2.72	38.83	58.44	9.100	-0.237	0.826	2.260	7.10	-0.06	0.80	1.177	5.19	6.49	7.38	9.48	3.3	72.0	23.2	1.4	6	2.29	19.04	0.00	0.00	4.725	-0.320
5.00	39.85	2.767	2.75	2.40	0.105	0.044	0.301	0.4	0.23	33.37	66.40	9.583	-0.188	0.882	1.882	7.48	-0.18	0.88	1.024	6.25	7.50	8.23	9.81	5.8	51.8	42.4	0.0	5	0.85	12.33	0.00	0.00	4.816	-0.182
5.10	35.33	2.784	2.77	3.30	0.090	0.046	0.299	14.6	14.77	35.21	50.03	8.140	-0.376	0.955	3.337	6.88	-0.13	0.81	1.358	1.27	4.35	5.98	8.90	3.2	65.0	31.5	0.3	6	2.30	16.50	0.00	0.00	4.651	-0.155
5.20	36.12	2.773	2.76	2.71	0.096	0.047	0.323	2.4	7.63	35.76	56.61	8.843	-0.338	0.991	2.708	6.98	-0.22	0.82	1.371	3.20	5.86	7.10	9.37	3.2	68.0	28.2	0.6	7	2.45	18.90	0.00	0.00	4.592	-0.173
5.30	37.71	2.773	2.75	3.25	0.090	0.045	0.330	1.6	4.42	34.84	60.74	9.203	-0.293	0.977	2.350	7.22	-0.18	0.82	1.201	4.42	6.65	7.63	9.59	3.3	70.1	25.8	0.7	6	2.44	19.80	0.00	0.00	4.566	-0.095
5.40	34.09	2.791	2.77	1.83	0.080	0.045	0.308	9.4	6.12	34.22	59.66	9.093	-0.348	1.073	2.591	7.20	-0.16	0.81	1.224	3.23	6.38	7.46	9.55	4.5	74.4	21.2	0.0	9	2.91	27.61	0.00	0.00	4.513	0.003
5.50	37.98	2.772	2.75	5.88	0.096	0.050	0.366	0.6	1.87	36.90	61.23	9.287	-0.226	0.846	2.132	7.23	-0.13	0.82	1.135	5.51	6.87	7.68	9.61	3.0	67.9	29.0	0.0	7	2.50	26.50	0.00	0.00	4.313	-0.082
5.60	38.14	2.774	2.75	3.78	0.098	0.048	0.340	0.6	1.58	36.32	62.10	9.317	-0.242	0.857	2.135	7.17	-0.14	0.84	1.186	5.53	6.88	7.75	9.67	2.6	70.8	26.6	0.0	6	2.74	19.88	0.00	0.00	4.397	0.073
5.70	37.19	2.780	2.76	3.11	0.100	0.049	0.346	1.8	3.41	36.10	60.49	9.227	-0.255	0.906	2.239	7.24	-0.18	0.83	1.165	5.02	6.73	7.65	9.58	3.8	71.1	22.1	3.0	8	2.85	24.11	0.00	0.00	4.369	-0.156
5.80	37.14	2.768	2.75	4.04	0.097	0.048	0.332	1.6	8.21	34.11	57.69	8.987	-0.359	1.178	2.785	7.25	-0.18	0.83	1.168	2.11	6.23	7.32	9.42	2.9	70.4	24.6	2.1	5	2.36	19.69	0.00	0.00	4.582	-0.133
5.90	36.41	2.765	2.75	3.03	0.085	0.047	0.318	1.8	10.96	34.57	54.46	8.717	-0.363	1.136	2.966	7.17	-0.20	0.86	1.234	1.65	5.69	6.94	9.22	2.4	72.1	24.3	1.3	6	2.22	19.43	0.00	0.00	4.546	0.034
6.00	34.84	2.741	2.72	4.42	0.070	0.055	0.308	1.2	2.10	47.79	50.11	8.627	-0.144	0.714	2.448	6.64	0.12	0.84	1.214	4.77	5.80	6.43	8.90	4.6	75.5	19.2	0.7	7	2.69	21.73	0.00	0.00	4.205	0.262
6.10	39.37	2.772	2.75	0.46	0.100	0.052	0.300	1.0	0.71	39.52	59.77	9.257	-0.188	0.798	2.083	7.21	-0.10	0.84	1.080	5.76	6.88	7.58	9.54	5.2	68.9	24.5	1.4	7	3.11	21.23	0.00	0.00	4.516	-0.111
6.20	41.36	2.718	2.70	2.92	0.115	0.053	0.350	0.0	1.75	33.64	64.62	9.333	-0.281	0.879	2.194	7.09	-0.12	0.82	1.188	5.33	6.81	7.78	9.75	7.1	81.7	9.2	2.1	8	2.93	27.44	12.00	0.21	4.601	0.045
6.30	41.12	2.736	2.72	0.23	0.104	0.052	0.363	0.6	1.73	25.97	72.30	9.713	-0.279	1.041	1.970	7.28	-0.22	0.83	1.136	5.78	7.57	8.57	10.03	5.3	83.8	10.8	0.1	13	3.21	31.29	2.00	0.04	4.642	-0.210
6.40	39.94	2.745	2.72	1.83	0.090	0.054	0.384	2.0	9.42	27.86	62.71	9.000	-0.443	1.206	2.927	7.13	-0.21	0.79	1.285	1.92	5.91	7.45	9.68	2.3	85.7	12.0	0.0	13	2.57	26.90	4.00	0.38	4.242	0.118
6.50	41.89	2.701	2.68	0.83	0.100	0.065	0.427	0.4	2.14	43.34	54.52	8.857	-0.196	0.770	2.361	6.80	-0.03	0.84	1.222	4.96	6.12	6.92	9.20	3.6	83.6	12.8	0.0	9	2.49	25.01	42.00	0.90	4.255	0.115
6.60	48.90	2.632	2.61	0.30	0.090	0.064	0.481	0.0	2.80	40.50	56.71	8.943	-0.266	0.816	2.430	6.91	-0.03	0.79	1.243	4.62	6.13	7.04	9.39	4.5	83.5	12.0	0.0	9	3.13	31.46	44.00	1.23	4.532	-0.039
6.70	41.34	2.753	2.72	0.59	0.090	0.054	0.401	2.0	3.96	38.15	57.89	8.980	-0.280	0.856	2.437	6.93	-0.05	0.80	1.263	4.49	6.19	7.15	9.43	4.8	79.6	15.6	0.0	9	2.48	24.36	20.00	0.79	4.441	-0.082
6.80	41.87	2.739	2.72	5.26	0.088	0.058	0.414	1.0	8.80	29.16	62.04	9.097	-0.404	1.257	2.801	7.28	-0.24	0.83	1.231	2.05	6.29	7.60	9.62	4.1	83.9	8.9	3.1	8	2.37	26.56	2.00	0.18	4.571	-0.055
6.90	39.90	2.738	2.72	6.16	0.082	0.053	0.396	1.6	11.12	30.46	58.42	8.817	-0.414	1.162	2.999	7.13	-0.23	0.85	1.293	1.63	5.68	7.11	9.45	3.1	85.5	10.8	0.7	7	2.94	24.34	0.00	0.00	4.525	-0.180
7.00	39.63	2.711	2.69	0.24	0.067	0.057	0.385	0.8	9.11	48.01	42.88	7.907	-0.023	0.735	2.842	6.35	0.18	0.83	1.320	3.35	4.84	5.54	7.89	6.2	78.9	13.6	1.3	6	3.06	21.25	26.00	2.37	4.607	-0.112
7.10	47.90	2.617	2.60	0.26	0.074	0.068	0.525	0.2	3.12	44.45	52.43	8.767	-0.196	0.758	2.433	6.81	0.04	0.81	1.238	4.71	5.96	6.70	9.11	11.6	79.4	2.3	6.7	9	3.14	33.10	32.00	1.00	4.601	-0.100
7.20	43.96	2.695	2.67	0.26	0.083	0.058	0.537	0.0	3.72	43.32	52.96	8.707	-0.230	0.756	2.541	6.64	0.07	0.84	1.270	4.35	5.76	6.51	9.12	7.7	79.2	13.0	0.0	8	2.78	28.36	12.00	0.45	4.672	-0.132
7.30	40.17	2.732	2.71	0.24	0.108	0.052	0.610	0.2	1.96	32.41	65.63	9.467	-0.240	0.855	2.033	7.33	-0.09	0.85	1.015	5.86	7.15	7.96	9.80	5.8	76.3	17.1	0.8	7	2.46	23.01	6.00	0.12	4.620	-0.192
7.40	34.87	2.763	2.75	0.35	0.088	0.046	0.502	0.6	9.62	37.81	52.56	8.397	-0.315	0.806	2.886	6.64	-0.12	0.75	1.452	3.41	4.91	6.25	9.07	11.9	70.6	17.5	0.0	11	3.15	29.51	0.00	0.00	4.663	-0.073
7.50	39.06	2.777	2.76	0.41	0.110	0.051	0.483	0.8	11.36	42.88	45.76	8.013	-0.190	0.707	2.950	6.46	0.06	0.70	1.487	3.34	4.52	5.44	8.45	13.5	65.4	20.5	0.6	7	2.86	25.99	0.00	0.00	4.568	-0.221
7.60	41.58	2.801	2.78	0.61	0.182	0.051	0.398	0.0	2.49	45.28	52.24	8.703	-0.200	0.760	2.480	6.73	0.04	0.81	1.261	4.55	5.84	6.60	9.06	20.3	36.4	43.3	0.0	7	2.13	25.45	0.00	0.00	4.736	-0.221
7.70	39.98	2.777	2.76	1.14	0.170	0.048	0.433	0.2	0.28	47.83	51.89	8.757	-0.144	0.708	2.341	6.74	0.13	0.81	1.185	5.17	6.02	6.66	9.04	18.7	39.8	40.5	0.9	7	2.52	25.78	0.00	0.00	4.767	-0.314
7.80	36.74	2.756	2.74	8.57	0.110	0.053	0.419	1.8	8.13	36.38	55.49	8.673	-0.379	0.904	2.963	6.65	0.09	0.76	1.314	2.32	5.39	6.34	9.32	18.7	39.8	40.5	0.9	7	2.52	25.78	0.00	0.00	4.787	-0.300
7.90	37.04	2.733	2.72	1.12	0.090	0.062	0.387	4.8	3.07	50.30	46.63	8.383	-0.061	0.698	2.537	6.48	0.20	0.88	1.235	4.48	5.54	6.08	8.49	5.6	75.4	18.6	0.4	6	2.53	20.01	6.00	0.18	4.501	-0.293
8.00	38.01	2.750	2.73	0.17	0.116	0.059	0.463	1.8	2.19	44.09	53.72	8.813	-0.198	0.752	2.392	6.79	0.05	0.84	1.207	4.89	6.03	6.78	9.17	6.1	78.3	15.3	0.3	7	2.42	19.48	8.00	0.18	4.602	-0.345
8.10	38.05	2.756	2.74	0.28	0.111	0.049	0.400	0.8	1.80	43.30	54.90	8.870	-0.206	0.750	2.363	6.78	0.05	0.84	1.204	4.99	6.11	6.85	9.24	7.6	74.0	15.6	2.8	7	2.58	21.17	4.00	0.07	4.609	-0.354
8.20	36.31	2.764	2.75	0.28	0.100	0.048	0.563	0.0	2.17	46.87	50.95	8.713	-0.161	0.746	2.407	6.80	0.05	0.80	1.235	4.81	5.95	6.65	9.00	12.6	68.3	17.0	2.0	6	1.86	27.68	2.00	0.04	4.763	-0.254
8.30	35.80	2.776	2.76	0.21	0.126	0.047	0.362	0.4	1.21	45.03	53.76	8.890	-0.189	0.774	2.330	6.93	-0.02	0.84	1.213	5.02	6.21	6.97	9.21	6.6	64.1	29.3	0.0	6	2.17	19.21	0.00	0.00	4.678	-0.268
8.40	31.16	2.806	2.79	0.52	0.080	0.043	0.310	0.2	26.21	38.74	35.05	6.683	0.343	0.629	3.222	5.79	0.46	0.82	1.458	2.65	3.48	3.98	5.79	9.5	66.8	23.0	0.6	5	2.07	19.81	0.00	0.00	4.576	-0.440
8.50	34.59	2.774	2.76	0.87	0.128	0.041	0.914	0.2	4.02	52.08	43.90	8.003	-0.018	0.669	2.718	6.21	0.20	0.77	1.411	4.08	4.93	5.54	8.06	16.7	48.8	34.5	0.0	8	2.93	30.35	0.00	0.00	4.880	-0.286
8.60	27.76	2.772	2.76	1.18	0.100	0.041	0.315	0.0	25.93	32.34	41.73	7.020	0.214	0.586	3.231	5.75	0.40	0.93	1.383	2.94	3.56	4.02	6.49	7.9	68.5	18.6	5.0	9	2.98	27.10	0.00	0.00	4.665	-0.317
