/* DATA DESCRIPTION:
Citation:	Rohardt, G (2002): Physical oceanography during cruise ANT-V/3 at CTD station PS10/490-1. Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.67741,
	In: Fahrbach, Eberhard; Rohardt, Gerd (2006): Physical oceanography during POLARSTERN Leg ANT-V/3 to the eastern Weddell Sea, Southern Ocean, Antarctica. Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.484628
Reference(s):	Schnack-Schiel, Sigrid B (1987): Die Winter-Expedition mit FS Polarstern in die Antarktis (ANT V/1-3) (The Winter-Expedition of RV Polarstern to the Antarctic (ANT V/1-3)). Reports on Polar Research, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, 39, 259 pp, hdl:10013/epic.10039.d001
Project(s):	Physical Oceanography @ AWI (AWI_PhyOce) (URI: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography/)
Coverage:	WEST: 2.2383 * EAST: 2.2383 * SOUTH: -58.0933 * NORTH: -58.0933
	DATE/TIME START: 1986-10-04T00:00:00 * DATE/TIME END: 1986-10-04T09:30:00
	MINIMUM DEPTH, water: 5.0 m * MAXIMUM DEPTH, water: 1978.3 m
Event(s):	PS10/490-1 * LATITUDE: -58.0933 * LONGITUDE: 2.2383 * ELEVATION: -4950.0 m * DATE/TIME: 1986-10-04T09:30:00 * DATE/TIME 2: 1986-10-04T00:00:00 * CAMPAIGN: ANT-V/3 (PS10) (URI: hdl:10013/epic.10039.d001) * BASIS: Polarstern (URI: http://www.awi.de/en/infrastructure/ships/polarstern/) * DEVICE: Bongo net * COMMENT: Haul No: 3/Max Depth: 200 m/
Parameter(s):	DEPTH, water [m] (Depth water) * Geocode
	Pressure, water [dbar] (Press) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Temperature, water [deg C] (Temp) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069 * COMMENT: ITS-90
	Conductivity [mS/cm] (Cond) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Salinity (Sal) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Temperature, water, potential [deg C] (Tpot) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: calculated
	Density, sigma-theta (0) [kg/m**3] (Sigma-theta) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: calculated
Size:	2406 data points
*/
Depth water [m]	Press [dbar]	Temp [deg C]	Cond [mS/cm]	Sal	Tpot [deg C]	Sigma-theta [kg/m**3]
623.5	630	0.2631	29.3029	34.6750	0.2358	27.8311
628.5	635	0.2621	29.3042	34.6750	0.2346	27.8311
633.4	640	0.2611	29.3056	34.6750	0.2334	27.8312
638.3	645	0.2561	29.3036	34.6750	0.2281	27.8314
643.3	650	0.2551	29.3049	34.6750	0.2269	27.8315
648.2	655	0.2541	29.3063	34.6750	0.2257	27.8317
653.2	660	0.2551	29.3094	34.6750	0.2264	27.8315
658.1	665	0.2541	29.3107	34.6750	0.2252	27.8317
663.1	670	0.2521	29.3112	34.6750	0.2229	27.8318
668.0	675	0.2481	29.3100	34.6750	0.2187	27.8319
672.9	680	0.2471	29.3114	34.6750	0.2175	27.8320
677.9	685	0.2441	29.3110	34.6750	0.2142	27.8323
682.8	690	0.2441	29.3132	34.6750	0.2140	27.8323
687.8	695	0.2441	29.3155	34.6750	0.2137	27.8323
692.7	700	0.2441	29.3177	34.6750	0.2135	27.8323
697.6	705	0.2351	29.3122	34.6750	0.2043	27.8328
702.6	710	0.2341	29.3135	34.6750	0.2031	27.8329
707.5	715	0.2331	29.3149	34.6750	0.2018	27.8330
712.5	720	0.2261	29.3103	34.6740	0.1946	27.8325
717.4	725	0.2181	29.3057	34.6740	0.1864	27.8330
722.3	730	0.2131	29.3036	34.6740	0.1812	27.8333
727.3	735	0.2101	29.3033	34.6740	0.1780	27.8334
732.2	740	0.2080	29.3038	34.6740	0.1757	27.8336
737.1	745	0.2030	29.3017	34.6740	0.1705	27.8339
742.1	750	0.2000	29.3014	34.6740	0.1673	27.8340
747.0	755	0.1990	29.3019	34.6730	0.1660	27.8334
752.0	760	0.1980	29.3041	34.6740	0.1648	27.8341
756.9	765	0.1980	29.3063	34.6740	0.1645	27.8342
761.8	770	0.1960	29.3060	34.6730	0.1623	27.8335
766.8	775	0.1960	29.3089	34.6740	0.1620	27.8344
771.7	780	0.1940	29.3094	34.6740	0.1598	27.8345
776.7	785	0.1930	29.3100	34.6730	0.1585	27.8337
781.6	790	0.1930	29.3130	34.6740	0.1583	27.8345
786.5	795	0.1890	29.3118	34.6740	0.1541	27.8347
791.5	800	0.1880	29.3131	34.6740	0.1528	27.8348
796.4	805	0.1890	29.3162	34.6740	0.1535	27.8347
801.3	810	0.1800	29.3099	34.6730	0.1443	27.8345
806.3	815	0.1780	29.3111	34.6740	0.1421	27.8354
811.2	820	0.1780	29.3126	34.6730	0.1418	27.8346
816.2	825	0.1770	29.3147	34.6740	0.1406	27.8356
821.1	830	0.1750	29.3144	34.6730	0.1384	27.8348
826.0	835	0.1720	29.3148	34.6740	0.1351	27.8358
831.0	840	0.1680	29.3128	34.6730	0.1309	27.8352
835.9	845	0.1620	29.3106	34.6740	0.1247	27.8363
840.8	850	0.1620	29.3128	34.6740	0.1244	27.8364
845.8	855	0.1620	29.3150	34.6740	0.1241	27.8364
850.7	860	0.1620	29.3164	34.6730	0.1239	27.8357
855.7	865	0.1600	29.3169	34.6730	0.1216	27.8357
860.6	870	0.1580	29.3174	34.6730	0.1194	27.8358
865.5	875	0.1560	29.3179	34.6730	0.1172	27.8359
870.5	880	0.1550	29.3200	34.6740	0.1159	27.8369
875.4	885	0.1540	29.3205	34.6730	0.1146	27.8362
880.3	890	0.1510	29.3209	34.6740	0.1114	27.8370
885.3	895	0.1500	29.3215	34.6730	0.1102	27.8364
890.2	900	0.1500	29.3236	34.6730	0.1099	27.8364
895.1	905	0.1490	29.3250	34.6730	0.1086	27.8364
900.1	910	0.1480	29.3263	34.6730	0.1074	27.8365
905.0	915	0.1480	29.3285	34.6730	0.1071	27.8365
909.9	920	0.1480	29.3307	34.6730	0.1069	27.8365
914.9	925	0.1450	29.3303	34.6730	0.1036	27.8368
919.8	930	0.1390	29.3273	34.6730	0.0974	27.8370
924.8	935	0.1360	29.3269	34.6730	0.0941	27.8372
929.7	940	0.1300	29.3232	34.6720	0.0879	27.8368
934.6	945	0.1260	29.3220	34.6720	0.0837	27.8370
939.6	950	0.1270	29.3258	34.6730	0.0844	27.8378
944.5	955	0.1270	29.3279	34.6730	0.0842	27.8378
949.4	960	0.1240	29.3268	34.6720	0.0809	27.8372
954.4	965	0.1210	29.3264	34.6720	0.0777	27.8374
959.3	970	0.1210	29.3286	34.6720	0.0774	27.8373
964.2	975	0.1190	29.3290	34.6720	0.0752	27.8375
969.2	980	0.1180	29.3304	34.6720	0.0739	27.8375
974.1	985	0.1170	29.3317	34.6720	0.0726	27.8376
979.0	990	0.1090	29.3270	34.6720	0.0644	27.8380
984.0	995	0.1080	29.3283	34.6720	0.0632	27.8381
988.9	1000	0.1070	29.3296	34.6720	0.0619	27.8381
993.8	1005	0.1020	29.3275	34.6720	0.0567	27.8385
998.8	1010	0.1000	29.3272	34.6710	0.0544	27.8378
1003.7	1015	0.0990	29.3285	34.6710	0.0532	27.8379
1008.6	1020	0.0980	29.3306	34.6720	0.0519	27.8387
1013.6	1025	0.0970	29.3319	34.6720	0.0506	27.8387
1018.5	1030	0.0960	29.3332	34.6720	0.0494	27.8389
1023.4	1035	0.0940	29.3329	34.6710	0.0471	27.8381
1028.4	1040	0.0920	29.3341	34.6720	0.0449	27.8391
1033.3	1045	0.0900	29.3346	34.6720	0.0426	27.8392
1038.2	1050	0.0820	29.3291	34.6710	0.0344	27.8389
1043.2	1055	0.0780	29.3279	34.6710	0.0302	27.8390
1048.1	1060	0.0760	29.3283	34.6710	0.0279	27.8392
1053.0	1065	0.0750	29.3296	34.6710	0.0266	27.8392
1058.0	1070	0.0730	29.3293	34.6700	0.0244	27.8385
1062.9	1075	0.0690	29.3281	34.6700	0.0202	27.8387
1067.8	1080	0.0680	29.3294	34.6700	0.0189	27.8389
1072.7	1085	0.0640	29.3289	34.6710	0.0146	27.8398
1077.7	1090	0.0640	29.3310	34.6710	0.0144	27.8400
1082.6	1095	0.0630	29.3316	34.6700	0.0131	27.8392
1087.5	1100	0.0580	29.3294	34.6700	0.0079	27.8395
1092.5	1105	0.0560	29.3306	34.6710	0.0056	27.8403
1097.4	1110	0.0560	29.3320	34.6700	0.0053	27.8396
1102.3	1115	0.0490	29.3282	34.6700	-0.0019	27.8400
1107.3	1120	0.0490	29.3304	34.6700	-0.0022	27.8400
1112.2	1125	0.0450	29.3291	34.6700	-0.0064	27.8402
1117.1	1130	0.0420	29.3287	34.6700	-0.0096	27.8403
1122.1	1135	0.0420	29.3308	34.6700	-0.0099	27.8403
1127.0	1140	0.0400	29.3305	34.6690	-0.0122	27.8397
1131.9	1145	0.0380	29.3317	34.6700	-0.0144	27.8406
1136.8	1150	0.0340	29.3304	34.6700	-0.0187	27.8408
1141.8	1155	0.0330	29.3310	34.6690	-0.0200	27.8401
1146.7	1160	0.0310	29.3314	34.6690	-0.0222	27.8402
1151.6	1165	0.0310	29.3335	34.6690	-0.0225	27.8402
1156.6	1170	0.0300	29.3356	34.6700	-0.0238	27.8411
1161.5	1175	0.0280	29.3353	34.6690	-0.0260	27.8405
1166.4	1180	0.0250	29.3348	34.6690	-0.0293	27.8406
1171.4	1185	0.0250	29.3370	34.6690	-0.0296	27.8406
1176.3	1190	0.0250	29.3391	34.6690	-0.0298	27.8407
1181.2	1195	0.0230	29.3395	34.6690	-0.0321	27.8407
1186.1	1200	0.0210	29.3392	34.6680	-0.0344	27.8401
1191.1	1205	0.0180	29.3396	34.6690	-0.0376	27.8411
1196.0	1210	0.0180	29.3409	34.6680	-0.0379	27.8402
1200.9	1215	0.0190	29.3447	34.6690	-0.0372	27.8409
1205.9	1220	0.0140	29.3425	34.6690	-0.0424	27.8413
1210.8	1225	0.0140	29.3447	34.6690	-0.0427	27.8413
1215.7	1230	0.0090	29.3425	34.6690	-0.0480	27.8416
1220.6	1235	0.0070	29.3422	34.6680	-0.0502	27.8409
1225.6	1240	0.0070	29.3451	34.6690	-0.0505	27.8417
1230.5	1245	0.0060	29.3464	34.6690	-0.0518	27.8418
1235.4	1250	0.0030	29.3459	34.6690	-0.0550	27.8419
1240.4	1255	0.0040	29.3489	34.6690	-0.0543	27.8419
1245.3	1260	0.0030	29.3502	34.6690	-0.0556	27.8420
1250.2	1265	0.0030	29.3516	34.6680	-0.0559	27.8412
1255.1	1270	0.0010	29.3520	34.6680	-0.0582	27.8413
1260.1	1275	0.0000	29.3532	34.6680	-0.0595	27.8413
1265.0	1280	-0.0010	29.3545	34.6680	-0.0607	27.8414
1269.9	1285	-0.0030	29.3549	34.6680	-0.0630	27.8416
1274.8	1290	-0.0040	29.3562	34.6680	-0.0643	27.8417
1279.8	1295	-0.0070	29.3558	34.6680	-0.0675	27.8418
1284.7	1300	-0.0090	29.3562	34.6680	-0.0698	27.8419
1289.6	1305	-0.0110	29.3566	34.6680	-0.0721	27.8420
1294.6	1310	-0.0120	29.3579	34.6680	-0.0734	27.8422
1299.5	1315	-0.0140	29.3583	34.6680	-0.0756	27.8422
1304.4	1320	-0.0200	29.3545	34.6670	-0.0819	27.8418
1309.3	1325	-0.0210	29.3566	34.6680	-0.0831	27.8425
1314.3	1330	-0.0240	29.3561	34.6680	-0.0864	27.8428
1319.2	1335	-0.0270	29.3549	34.6670	-0.0897	27.8422
1324.1	1340	-0.0280	29.3562	34.6670	-0.0909	27.8423
1329.0	1345	-0.0300	29.3566	34.6670	-0.0932	27.8423
1334.0	1350	-0.0300	29.3595	34.6680	-0.0935	27.8431
1338.9	1355	-0.0330	29.3583	34.6670	-0.0968	27.8425
1343.8	1360	-0.0340	29.3595	34.6670	-0.0980	27.8425
1348.7	1365	-0.0350	29.3608	34.6670	-0.0993	27.8427
1353.7	1370	-0.0360	29.3620	34.6670	-0.1006	27.8427
1358.6	1375	-0.0380	29.3624	34.6670	-0.1029	27.8428
1363.5	1380	-0.0390	29.3637	34.6670	-0.1042	27.8429
1368.4	1385	-0.0410	29.3641	34.6670	-0.1064	27.8430
1373.4	1390	-0.0420	29.3653	34.6670	-0.1077	27.8430
1378.3	1395	-0.0420	29.3675	34.6670	-0.1080	27.8431
1383.2	1400	-0.0440	29.3679	34.6670	-0.1103	27.8431
1388.1	1405	-0.0440	29.3700	34.6670	-0.1106	27.8433
1393.1	1410	-0.0440	29.3713	34.6660	-0.1109	27.8424
1398.0	1415	-0.0470	29.3716	34.6670	-0.1142	27.8434
1402.9	1420	-0.0490	29.3713	34.6660	-0.1164	27.8427
1407.8	1425	-0.0490	29.3733	34.6660	-0.1167	27.8428
1412.8	1430	-0.0520	29.3729	34.6660	-0.1200	27.8429
1417.7	1435	-0.0510	29.3759	34.6660	-0.1193	27.8429
1422.6	1440	-0.0510	29.3787	34.6670	-0.1196	27.8438
1427.5	1445	-0.0510	29.3808	34.6670	-0.1199	27.8436
1432.4	1450	-0.0520	29.3813	34.6660	-0.1212	27.8430
1437.4	1455	-0.0530	29.3833	34.6670	-0.1225	27.8438
1442.3	1460	-0.0520	29.3855	34.6660	-0.1218	27.8430
1447.2	1465	-0.0550	29.3850	34.6660	-0.1251	27.8431
1452.1	1470	-0.0550	29.3871	34.6660	-0.1254	27.8431
1457.1	1475	-0.0550	29.3892	34.6660	-0.1257	27.8431
1462.0	1480	-0.0550	29.3913	34.6660	-0.1260	27.8431
1466.9	1485	-0.0570	29.3917	34.6660	-0.1283	27.8434
1471.8	1490	-0.0590	29.3921	34.6660	-0.1306	27.8434
1476.8	1495	-0.0600	29.3933	34.6660	-0.1318	27.8435
1481.7	1500	-0.0600	29.3954	34.6660	-0.1322	27.8435
1486.6	1505	-0.0610	29.3967	34.6660	-0.1334	27.8436
1491.5	1510	-0.0620	29.3979	34.6660	-0.1347	27.8436
1496.4	1515	-0.0630	29.3991	34.6660	-0.1360	27.8438
1501.4	1520	-0.0640	29.4004	34.6660	-0.1373	27.8438
1506.3	1525	-0.0660	29.4000	34.6650	-0.1396	27.8431
1511.2	1530	-0.0670	29.4012	34.6650	-0.1409	27.8431
1516.1	1535	-0.0680	29.4025	34.6650	-0.1422	27.8433
1521.1	1540	-0.0680	29.4053	34.6660	-0.1425	27.8440
1526.0	1545	-0.0700	29.4057	34.6660	-0.1448	27.8442
1530.9	1550	-0.0720	29.4061	34.6660	-0.1471	27.8442
1535.8	1555	-0.0740	29.4064	34.6660	-0.1494	27.8444
1540.7	1560	-0.0740	29.4078	34.6650	-0.1497	27.8436
1545.7	1565	-0.0750	29.4098	34.6660	-0.1510	27.8445
1550.6	1570	-0.0750	29.4111	34.6650	-0.1513	27.8436
1555.5	1575	-0.0770	29.4114	34.6650	-0.1536	27.8439
1560.4	1580	-0.0820	29.4093	34.6650	-0.1588	27.8440
1565.3	1585	-0.0830	29.4112	34.6660	-0.1601	27.8450
1570.3	1590	-0.0840	29.4125	34.6660	-0.1614	27.8450
1575.2	1595	-0.0850	29.4137	34.6660	-0.1627	27.8451
1580.1	1600	-0.0870	29.4133	34.6650	-0.1650	27.8444
1585.0	1605	-0.0870	29.4162	34.6660	-0.1653	27.8452
1589.9	1610	-0.0890	29.4158	34.6650	-0.1676	27.8445
1594.9	1615	-0.0900	29.4170	34.6650	-0.1689	27.8446
1599.8	1620	-0.0910	29.4182	34.6650	-0.1702	27.8446
1604.7	1625	-0.0910	29.4203	34.6650	-0.1705	27.8447
1609.6	1630	-0.0920	29.4215	34.6650	-0.1718	27.8447
1614.5	1635	-0.0910	29.4244	34.6650	-0.1711	27.8447
1619.5	1640	-0.0930	29.4248	34.6650	-0.1734	27.8447
1624.4	1645	-0.0950	29.4251	34.6650	-0.1757	27.8450
1629.3	1650	-0.0960	29.4264	34.6650	-0.1770	27.8450
1634.2	1655	-0.0970	29.4268	34.6640	-0.1783	27.8442
1639.1	1660	-0.0990	29.4272	34.6640	-0.1806	27.8444
1644.1	1665	-0.1010	29.4283	34.6650	-0.1829	27.8452
1649.0	1670	-0.1030	29.4287	34.6650	-0.1852	27.8455
