/* DATA DESCRIPTION:
Citation:	Konfirst, Matt A; Kuhn, Gerhard; Monien, Donata; Scherer, Reed (2011): Relative abundance of diatom species in core AND1-1B, 363.73 to 459.77 m. Dataset #757322 (DOI registration in progress)
Reference(s):	Konfirst, Matt A; Kuhn, Gerhard; Monien, Donata; Scherer, Reed (2011): Diatom abundance changes as indicators of cyclic variation in early Pliocene Antarctic climate, as recorded in the ANDRILL AND-1B drill core. Data submitted 2011-02-14, Palaeogeography Palaeoclimatology Palaeoecology, submitted
Project(s):	Antarctic Geological Drilling (ANDRILL) (URI: http://www.andrill.org/)
Coverage:	LATITUDE: -77.889442 * LONGITUDE: 167.089328
	MINIMUM DEPTH, sediment: 363.7 m * MAXIMUM DEPTH, sediment: 459.8 m
Event(s):	AND1-1B * LATITUDE: -77.889442 * LONGITUDE: 167.089328 * DATE/TIME START: 2006-10-31T00:00:00 * DATE/TIME END: 2006-12-26T00:00:00 * RECOVERY: 1284.85 m * CAMPAIGN: MIS (McMurdo Ice Shelf) (URI: hdl:10013/epic.28735.d001) * BASIS: McMurdo Station (URI: http://www.antarcticconnection.com/antarctic/stations/mcmurdo.shtml) * DEVICE: Drilling * COMMENT: Drilled through shelf ice, thickness of ice ~82 m
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Thalassiothrix antarctica [%] (T. antarctica) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Thalassionema spp. [%] (Thalassionema spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Eucampia antarctica [%] (E. antarctica) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Dactyliosolen, girdle bands [%] (Dactyliosolen gird ban) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Chaetoceros spp. [%] (Chaetoceros spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Dictyocha spp. [%] (Dictyocha spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Distephanus spp. [%] (Distephanus spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Shionodiscus tetraoestrupii [%] (S. tetraoestrupii) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Rouxia spp. [%] (Rouxia spp.) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Diatoms [#/g] (Diatoms) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Rouxia index (RI) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Diatom index (Diatom index) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de) * COMMENT: warm sp. - cold sp.
	Age model [ka] (Age model) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Age, comment (Age comment) * PI: Kuhn, Gerhard (URL: http://www.awi.de/People/show?gkuhn, eMail: gerhard.kuhn@awi.de)
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Lisiecki, Lorraine E * METHOD: stacked * COMMENT: based on 57 globally distributed records, see doi:10.1594/PANGAEA.701576
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	3980 data points
*/
Depth [m]	T. antarctica [%]	Thalassionema spp. [%]	E. antarctica [%]	Dactyliosolen gird ban [%]	Chaetoceros spp. [%]	Dictyocha spp. [%]	Distephanus spp. [%]	S. tetraoestrupii [%]	Rouxia spp. [%]	Diatoms [#/g]	RI	Diatom index	Age model [ka]	Age comment	Foram bent d18O [per mil PDB]
371.38	2.5	6.7	1.0	0.7	24.0	0.0	3.3	16.3	7.8	3150000	0.133			LSU 4.1, DU XI, Subunit V	
371.61	0.4	9.8	0.3	1.3	31.0	0.0	2.3	20.7	6.5	2660000	0.129			LSU 4.1, DU XI, Subunit V	
371.86	1.5	9.1	1.0	4.6	24.4	0.0	2.6	22.1	11.4	1880000	0.167			LSU 4.1, DU XI, Subunit V	
372.11	1.5	6.0	1.2	1.7	30.0	0.0	3.3	15.6	9.7	3970000	0.145			LSU 4.1, DU XI, Subunit V	
372.34	0.8	8.0	1.0	1.7	23.4	0.0	5.3	16.0	7.0	3090000	0.104			LSU 4.1, DU XI, Subunit V	
372.61	1.3	3.0	1.0	2.7	33.0	0.0	3.3	18.3	10.2	2970000	0.128			LSU 4.1, DU XI, Subunit V	
372.85	1.8	8.7	0.0	2.0	11.2	0.0	1.7	15.7	1.7	1630000	0.048			LSU 4.1, DU XI, Subunit V	
373.00	2.0	4.3	0.8	2.0	27.7	0.0	2.0	12.3	16.3	4290000	0.208			LSU 4.1, DU XI, Subunit V	
373.16	2.1	9.0	0.2	2.6	33.9	0.0	2.6	14.6	14.6	6450000	0.164			LSU 4.1, DU XI, Subunit V	
373.37	0.7	3.8	1.0	4.7	29.5	0.0	4.0	18.3	13.8	6520000	0.153			LSU 4.1, DU XI, Subunit V	
373.61	1.5	7.7	0.8	1.6	38.1	0.0	3.3	17.4	13.5	8590000	0.16			LSU 4.1, DU XI, Subunit V	
373.87	1.0	4.8	0.7	2.7	27.4	0.0	6.3	16.3	9.7	7900000	0.14			LSU 4.1, DU XI, Subunit V	
374.12	0.8	7.0	0.8	3.3	33.5	0.0	5.0	21.7	15.3	9250000	0.148			LSU 4.1, DU XI, Subunit V	
374.37	0.3	5.2	0.5	1.3	33.9	0.0	2.0	11.3	13.2	2120000	0.116			LSU 4.1, DU XI, Subunit V	
374.61	1.2	5.3	0.5	3.3	37.3	0.0	1.0	15.6	14.8	10800000	0.172			LSU 4.1, DU XI, Subunit V	
374.81	1.1	4.8	1.0	5.6	31.3	0.0	3.6	17.1	14.0	5030000	0.137			LSU 4.1, DU XI, Subunit V	
375.01	0.8	6.0	0.2	1.7	31.8	0.0	2.3	21.0	11.3	2770000	0.118			LSU 4.1, DU XI, Subunit V	
375.31	1.0	6.8	0.5	2.7	27.5	0.0	3.3	17.0	6.7	2090000	0.088			LSU 4.1, DU XI, Subunit V	
375.61	1.2	5.8	1.2	3.3	24.6	0.0	2.0	14.7	7.7	2390000	0.145			LSU 4.1, DU XI, Subunit V	
375.91	1.5	9.8	0.3	5.0	33.3	0.0	6.0	17.0	9.5	3970000	0.144			LSU 4.1, DU XI, Subunit V	
376.12	0.7	5.1	0.3	1.7	29.8	0.0	2.3	16.3	7.8	1930000	0.095			LSU 4.1, DU XI, Subunit V	
376.36	1.5	2.5	1.0	4.0	29.6	0.0	3.3	17.0	13.5	6640000	0.159			LSU 4.1, DU XI, Subunit V	
376.60	1.0	9.8	0.3	2.3	33.4	0.3	2.7	15.3	14.8	8340000	0.132			LSU 4.1, DU XI, Subunit V	
376.77	1.2	4.0	0.2	1.0	28.6	0.0	1.0	14.3	14.5	3910000	0.168			LSU 4.1, DU XI, Subunit V	
376.95	1.3	19.4	0.7	3.0	32.0	0.0	2.3	18.8	16.9	8270000	0.162			LSU 4.1, DU XI, Subunit V	
377.17	0.5	8.3	0.3	1.3	30.4	0.0	6.3	24.0	10.5	7100000	0.144			LSU 4.1, DU XI, Subunit V	
377.45	2.0	5.7	0.7	2.0	23.9	0.0	2.0	23.0	12.2	4740000	0.153			LSU 4.1, DU XI, Subunit V	
377.71	1.6	12.1	0.7	2.3	31.3	0.0	2.7	20.6	11.6	7070000	0.174			LSU 4.1, DU XI, Subunit V	
378.11	0.7	13.0	0.2	2.7	27.5	0.3	2.7	19.6	16.8	10800000	0.174			LSU 4.1, DU XI, Subunit V	
378.17	1.9	5.7	0.5	1.7	27.5	0.0	9.7	21.3	12.6	10600000	0.178			LSU 4.1, DU XI, Subunit V	
378.61	1.3	5.5	1.5	1.0	36.0	0.0	4.7	22.3	12.3	8240000	0.146			LSU 4.1, DU XI, Subunit V	
378.85	1.6	4.7	1.1	1.3	29.3	0.0	5.2	19.9	11.4	6070000	0.14			LSU 4.1, DU XI, Subunit V	
379.08	1.5	9.3	1.2	2.0	31.7	0.0	2.3	21.3	13.7	22000000	0.167			LSU 4.1, DU XI, Subunit V	
379.61	1.2	8.3	1.0	1.3	29.4	0.0	4.6	22.5	9.6	7390000	0.171			LSU 4.1, DU XI, Subunit V	
380.11	2.8	9.9	0.5	1.3	33.8	0.0	4.3	17.8	11.7	7910000	0.143			LSU 4.1, DU XI, Subunit V	
380.37	0.7	4.6	0.5	1.7	25.2	0.0	1.0	18.5	8.9	4200000	0.099			LSU 4.1, DU XI, Subunit V	
380.61	1.3	9.2	0.3	1.7	24.2	0.0	3.3	21.3	11.5	10100000	0.147			LSU 4.1, DU XI, Subunit V	
380.87	1.3	4.8	0.8	1.7	28.4	0.0	4.0	17.3	10.5	3970000	0.168			LSU 4.1, DU XI, Subunit V	
381.11	0.7	7.8	1.5	3.3	26.8	0.0	5.3	23.3	8.8	11500000	0.157			LSU 4.1, DU XI, Subunit V	
381.35	0.8	4.7	0.2	1.0	33.9	0.0	3.3	17.6	11.1	2260000	0.095			LSU 4.1, DU XI, Subunit V	
381.61	1.3	7.5	0.5	1.3	26.2	0.0	4.3	26.2	8.4	9570000	0.151			LSU 4.1, DU XI, Subunit V	
381.82	1.2	5.5	0.3	1.0	20.8	0.0	5.0	24.3	8.8	4280000	0.115			LSU 4.1, DU XI, Subunit V	
382.04	2.0	4.5	0.8	2.3	21.9	0.0	8.0	17.3	6.3	4520000	0.11			LSU 4.1, DU XI, Subunit V	
382.25	1.2	6.7	0.5	1.7	9.9	0.0	2.3	21.0	2.0	2560000	0.057			LSU 4.1, DU XI, Subunit V	
382.38	1.5	5.6	1.0	1.3	30.2	0.0	14.6	15.0	7.0	6690000	0.113	7.97	3440.0	LSU 4.1, DU XI, Subunit IV	2.90
382.71	0.7	8.4	0.5	0.3	33.6	0.0	4.7	14.0	16.6	5790000	0.207	-2.66	3441.3	LSU 4.1, DU XI, Subunit IV	
383.07	0.5	7.8	1.0	2.3	28.7	0.0	3.7	22.3	19.6	19300000	0.191	2.66	3442.8	LSU 4.1, DU XI, Subunit IV	
383.34	1.2	7.7	1.2	1.7	27.2	0.0	1.3	17.6	14.8	11900000	0.178	2.83	3443.9	LSU 4.1, DU XI, Subunit IV	
383.61	2.6	7.9	0.3	0.7	41.5	0.0	2.3	18.5	13.1	9750000	0.196	5.46	3445.0	LSU 4.1, DU XI, Subunit IV	3.04
383.95	0.5	11.6	0.3	3.3	35.0	0.0	1.7	16.2	21.1	23800000	0.196	-4.95	3446.2	LSU 4.1, DU XI, Subunit IV	
384.14	1.5	11.5	1.0	2.0	41.5	0.0	2.6	17.1	14.8	22000000	0.145	2.31	3446.8	LSU 4.1, DU XI, Subunit IV	
384.61	1.0	7.2	0.3	4.0	37.2	0.0	3.7	18.3	15.5	4460000	0.169	2.83	3448.5	LSU 4.1, DU XI, Subunit IV	
385.05	0.7	9.1	0.2	3.0	31.9	0.0	1.7	12.6	22.0	5900000	0.187	-9.32	3450.0	LSU 4.1, DU XI, Subunit IV	3.12
385.61	1.0	10.1	0.5	2.0	35.8	0.0	3.3	20.3	12.6	13900000	0.151	7.64	3452.6	LSU 4.1, DU XI, Subunit IV	
386.11	0.2	9.3	1.3	3.0	29.5	0.0	3.6	23.1	11.2	21600000	0.209	11.86	3455.0	LSU 4.1, DU XI, Subunit IV	3.03
386.25	0.6	10.6	0.7	2.7	34.9	0.0	3.7	17.6	18.5	30200000	0.207	-0.83	3456.5	LSU 4.1, DU XI, Subunit IV	
386.61	2.1	5.9	0.7	1.7	36.0	0.0	6.9	21.5	10.4	11200000	0.179	11.07	3460.0	LSU 4.1, DU XI, Subunit IV	3.07
387.05	0.7	7.9	0.7	1.3	34.1	0.0	3.6	15.0	21.5	28200000	0.229	-6.51	3465.0	LSU 4.1, DU XI, Subunit IV	3.23
387.61	0.3	10.0	0.5	1.0	39.9	0.0	2.3	18.4	18.1	30300000	0.194	0.33	3466.4	LSU 4.1, DU XI, Subunit IV	
388.05	0.9	9.5	0.0	1.7	24.6	0.0	2.0	21.8	21.8	50200000	0.223	0.00	3467.4	LSU 4.1, DU XI, Subunit IV	
388.15	1.3	4.5	0.8	3.3	36.0	0.0	2.0	24.2	18.4	23600000	0.189	5.79	3467.7	LSU 4.1, DU XI, Subunit IV	
388.57	1.6	6.8	0.0	2.0	27.7	0.0	1.6	19.1	21.7	28700000	0.176	-2.64	3468.7	LSU 4.1, DU XI, Subunit IV	
388.85	1.2	3.0	0.5	2.7	31.2	0.0	3.0	19.0	14.8	9730000	0.183	4.17	3469.4	LSU 4.1, DU XI, Subunit IV	
389.11	1.0	5.2	2.5	0.3	31.8	0.0	11.6	20.0	11.0	12300000	0.149	8.99	3470.0	LSU 4.1, DU XI, Subunit IV	3.09
389.61	1.2	4.4	0.2	3.0	27.1	0.0	3.0	21.4	15.8	13000000	0.178	5.60	3471.0	LSU 4.1, DU XI, Subunit IV	
390.05	1.6	8.7	1.0	3.3	25.7	0.0	4.0	22.8	14.0	16100000	0.152	8.75	3471.9	LSU 4.1, DU XI, Subunit IV	
391.11	1.2	6.5	0.5	1.7	39.3	0.0	5.6	18.6	14.3	20000000	0.173	4.31	3474.0	LSU 4.1, DU XI, Subunit IV	
391.25	1.6	14.4	0.0	1.7	28.0	0.0	0.3	22.0	16.8	30500000	0.156	5.16	3474.3	LSU 4.1, DU XI, Subunit IV	
391.61	0.7	5.3	0.8	1.0	25.3	0.0	1.3	27.9	10.1	12900000	0.121	17.74	3475.0	LSU 4.1, DU XI, Subunit IV	2.92
391.95	0.2	11.2	0.3	2.6	20.7	0.0	2.0	30.7	15.4	34700000	0.157	15.37	3476.6	LSU 4.1, DU XI, Subunit IV	
392.39	1.2	4.3	0.5	0.7	33.9	0.0	2.6	28.7	11.1	18600000	0.144	17.62	3478.7	LSU 4.1, DU XI, Subunit IV	
392.67	0.8	3.2	1.1	0.3	20.1	0.0	3.6	29.4	10.2	12100000	0.23	19.22	3480.0	LSU 4.1, DU XI, Subunit IV	2.89
392.95	2.6	8.9	0.3	1.0	14.5	0.0	0.3	27.2	17.7	30900000	0.164	9.45	3481.0	LSU 4.1, DU XI, Subunit IV	
393.19	0.7	5.8	0.0	2.0	32.2	0.0	1.7	27.5	12.4	14600000	0.17	15.09	3481.9	LSU 4.1, DU XI, Subunit IV	
393.41	0.2	4.7	0.7	1.3	43.6	0.0	4.3	30.3	16.0	21400000	0.21	14.31	3482.6	LSU 4.1, DU XI, Subunit IV	
394.07	1.6	4.2	2.0	1.3	11.1	0.0	4.3	24.7	17.3	14800000	0.192	7.40	3485.0	LSU 4.1, DU XI, Subunit IV	3.00
394.34	1.3	3.2	1.7	0.7	24.1	0.0	6.3	25.3	9.8	12100000	0.171	15.50	3490.0	LSU 4.1, DU XI, Subunit IV	2.98
394.61	0.5	1.3	0.7	0.7	33.6	0.0	3.7	23.9	14.8	18100000	0.195	9.14	3492.2	LSU 4.1, DU XI, Subunit IV	
394.95	0.4	3.9	1.0	2.3	25.2	0.0	3.6	18.2	14.4	16700000	0.179	3.80	3495.0	LSU 4.1, DU XI, Subunit IV	3.06
395.61	1.0	5.0	0.0	1.7	34.3	0.0	1.7	23.6	19.3	18900000	0.194	4.32	3496.5	LSU 4.1, DU XI, Subunit IV	
395.95	0.4	6.2	0.3	3.0	35.6	0.0	1.3	25.5	12.4	31900000	0.136	13.06	3497.4	LSU 4.1, DU XI, Subunit IV	
396.61	1.2	3.2	0.2	1.7	32.6	0.3	4.0	28.9	9.8	21100000	0.175	19.07	3498.9	LSU 4.1, DU XI, Subunit IV	
397.07	1.3	4.0	0.2	2.0	27.8	0.0	0.7	33.9	7.8	14100000	0.099	26.08	3500.0	LSU 4.1, DU XI, Subunit IV	2.93
397.35	0.5	8.0	0.3	0.3	20.4	0.3	0.6	29.5	17.2	16800000	0.168	12.36	3501.4	LSU 4.1, DU XI, Subunit IV	
397.61	0.7	8.0	0.2	1.0	27.3	0.0	0.7	31.3	9.8	36600000	0.161	21.46	3502.6	LSU 4.1, DU XI, Subunit IV	
398.11	0.8	2.9	0.2	1.0	25.6	0.0	2.9	30.2	10.1	16800000	0.121	20.16	3505.0	LSU 4.1, DU XI, Subunit IV	2.95
398.25	1.3	5.6	0.3	1.0	19.5	0.0	3.3	28.9	10.6	19100000	0.153	18.24	3505.7	LSU 4.1, DU XI, Subunit IV	
398.61	1.5	3.3	0.5	3.0	30.6	0.0	7.3	24.0	13.3	12500000	0.194	10.67	3507.5	LSU 4.1, DU XI, Subunit IV	
398.85	0.7	3.6	0.5	1.6	24.2	0.0	5.3	25.3	7.7	9110000	0.15	17.57	3508.7	LSU 4.1, DU XI, Subunit IV	
399.05	1.3	5.6	0.0	2.7	24.5	0.0	2.0	33.4	14.2	12800000	0.17	19.22	3509.7	LSU 4.1, DU XI, Subunit IV	
399.11	0.7	2.7	0.3	1.3	35.1	0.0	3.3	34.3	11.0	40400000	0.161	23.33	3510.0	LSU 4.1, DU XI, Subunit IV	2.97
399.24	0.7	3.5	0.5	0.3	34.2	0.7	4.6	32.5	10.9	16000000	0.193	21.56	3510.9	LSU 4.1, DU XI, Subunit IV	
399.83	0.7	0.7	0.8	1.0	19.6	0.0	6.3	24.3	7.3	12600000	0.155	17.00	3515.0	LSU 4.1, DU XI, Subunit IV	3.04
400.11	1.3	6.5	0.0	0.3	38.9	0.0	1.0	23.6	14.8	17200000	0.199	8.80	3516.1	LSU 4.1, DU XI, Subunit IV	
400.35	1.0	4.4	0.4	1.9	29.1	0.0	0.8	29.4	15.9	9850000	0.143	13.54	3517.1	LSU 4.1, DU XI, Subunit IV	
400.61	0.5	5.0	0.5	1.7	35.2	0.0	1.7	29.8	15.1	25700000	0.178	14.74	3518.0	LSU 4.1, DU XI, Subunit IV	
401.11	1.5	3.0	0.5	0.3	28.6	0.0	4.3	18.9	9.6	10200000	0.185	9.29	3520.0	LSU 4.1, DU XI, Subunit IV	3.11
401.35	0.6	4.1	0.5	2.5	34.6	0.0	1.0	31.9	11.5	10400000	0.076	20.45	3520.8	LSU 4.1, DU XI, Subunit IV	
401.61	1.0	1.7	0.2	1.0	28.5	0.0	7.0	26.0	20.0	14100000	0.182	5.99	3521.6	LSU 4.1, DU XI, Subunit IV	
401.85	1.0	1.2	0.7	2.6	29.7	0.0	3.6	34.4	14.4	20400000	0.137	20.00	3522.5	LSU 4.1, DU XI, Subunit IV	
402.11	0.5	1.3	0.0	2.0	44.5	0.0	2.0	22.6	16.6	15700000	0.165	5.98	3523.3	LSU 4.1, DU XI, Subunit IV	
402.38	1.0	2.3	0.0	4.3	25.7	0.0	4.0	31.4	11.9	6010000	0.099	19.47	3524.2	LSU 4.1, DU XI, Subunit IV	
402.63	0.8	2.5	1.2	1.3	37.0	0.0	1.3	18.0	13.3	4480000	0.139	4.67	3525.0	LSU 4.1, DU XI, Subunit IV	3.18
402.90	0.8	0.0	0.3	0.0	8.8	0.0	30.0	32.3	2.8	9670000	0.121	29.50	3545.0	LSU 4.1, DU XI, Subunit III	3.01
